Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
419 ,En stock,Steinberger,Spirit XT-25,Spirit,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/steinberger/spirit-series-xt-25-black/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/steinberger/spirit-series-xt-25-black/petites-annonces/
931 ,En stock,Yamaha,BB735A,700,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/bb735a/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/bb735a/petites-annonces/
439 ,En stock,Sterling by Music Man,StingRay Ray5,StingRay,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/ray5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/ray5/petites-annonces/
1 555 ,En stock,Music Man,StingRay 5,StingRay,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-5/petites-annonces/
729 ,En stock,Cort,A5 Plus FMMH,Artisan,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/a5-plus-fmmh/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/a5-plus-fmmh/petites-annonces/
5 599 ,En stock,Warwick,Corvette $$ 5,Corvette,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/warwick/corvette-double-buck-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/warwick/corvette-double-buck-5/petites-annonces/
1 499 ,En stock,Sterling by Music Man,StingRay Ray35,StingRay,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/ray35/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/ray35/petites-annonces/
1 138.50 ,En stock,Ibanez,EHB1005SMS,EHB,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1005sms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1005sms/petites-annonces/
399 ,En stock,Squier,Classic Vibe ‘70s Jazz Bass V,Jazz Bass,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/squier/classic-vibe-70s-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/squier/classic-vibe-70s-jazz-bass-v/petites-annonces/
1 679 ,En stock,Sandberg (Bass),California TM 5,California T,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/sandberg-bass/california-tm-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sandberg-bass/california-tm-5/petites-annonces/
429 ,En stock,Yamaha,TRBX305,TRBX,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx305/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx305/petites-annonces/
